,nose_x,nose_y,nose_z,nose_visibility,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_visibility,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_visibility,left_hip_x,left_hip_y,left_hip_z,left_hip_visibility,right_hip_x,right_hip_y,right_hip_z,right_hip_visibility,left_knee_x,left_knee_y,left_knee_z,left_knee_visibility,right_knee_x,right_knee_y,right_knee_z,right_knee_visibility,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_visibility,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_visibility,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_visibility,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_visibility,left_knee_angle,right_knee_angle,left_hip_angle,right_hip_angle,left_elbow_angle,right_elbow_angle,torso_lean_angle,shoulder_angle,avg_knee_angle,knee_angle_diff,shoulder_width,hip_width,body_center_x,body_center_y,body_center_z,nose_velocity_x,nose_velocity_y,nose_velocity_z,nose_velocity_total,left_hip_velocity_x,left_hip_velocity_y,left_hip_velocity_z,left_hip_velocity_total,right_hip_velocity_x,right_hip_velocity_y,right_hip_velocity_z,right_hip_velocity_total,left_knee_velocity_x,left_knee_velocity_y,left_knee_velocity_z,left_knee_velocity_total,right_knee_velocity_x,right_knee_velocity_y,right_knee_velocity_z,right_knee_velocity_total,left_knee_angle_velocity,right_knee_angle_velocity,nose_acceleration_x,nose_acceleration_y,nose_acceleration_z,nose_acceleration_total,left_hip_acceleration_x,left_hip_acceleration_y,left_hip_acceleration_z,left_hip_acceleration_total,right_hip_acceleration_x,right_hip_acceleration_y,right_hip_acceleration_z,right_hip_acceleration_total,left_knee_acceleration_x,left_knee_acceleration_y,left_knee_acceleration_z,left_knee_acceleration_total,right_knee_acceleration_x,right_knee_acceleration_y,right_knee_acceleration_z,right_knee_acceleration_total
count,1849.0,1849.0,1849.0,1849.0,1849.0,1849.0,1849.0,1849.0,1849.0,1849.0,1849.0,1849.0,1849.0,1849.0,1849.0,1849.0,1849.0,1849.0,1849.0,1849.0,1849.0,1849.0,1849.0,1849.0,1849.0,1849.0,1849.0,1849.0,1849.0,1849.0,1849.0,1849.0,1849.0,1849.0,1849.0,1849.0,1849.0,1849.0,1849.0,1849.0,1849.0,1849.0,1849.0,1849.0,1849.0,1849.0,1849.0,1849.0,1849.0,1849.0,1849.0,1849.0,1849.0,1849.0,1849.0,1849.0,1849.0,1849.0,1849.0,1833.0,1833.0,1833.0,1833.0,1833.0,1833.0,1833.0,1833.0,1833.0,1833.0,1833.0,1833.0,1833.0,1833.0,1833.0,1833.0,1833.0,1833.0,1833.0,1833.0,1833.0,1833.0,1817.0,1817.0,1817.0,1817.0,1817.0,1817.0,1817.0,1817.0,1817.0,1817.0,1817.0,1817.0,1817.0,1817.0,1817.0,1817.0,1817.0,1817.0,1817.0,1817.0
mean,-0.029830066412837964,2.846775336789076,-1.1386087258100888,0.9927481139847367,-0.2660690466971813,2.0497819426555637,-0.44589279260003756,0.9962400261810369,0.25008403849764027,2.0475566391183606,-0.5766872974243115,0.99561197487582,-0.16492182117325177,0.012141230301339578,0.01339479632701237,0.9792703074368353,0.16492182117325177,-0.012141230301339578,-0.01339479632701237,0.978505499382932,-0.23147611783369787,-1.2062029834959496,-0.3183333930733143,0.4210446753764294,0.16338259341822098,-1.24786570597086,-0.1874998123739219,0.43649277798408365,-0.1870812499793447,-2.477471050545798,1.1056339340124781,0.08293090509416974,0.1407434198135789,-2.5380614939721404,0.9601352224037877,0.12393752514778067,-0.33442276440563223,0.006602807911514124,-0.7118304218198764,0.7565237708357523,0.27176165214876113,-0.012710655281642572,-0.860391693405329,0.8432939065919495,119.61545538548208,129.12699097152526,141.7302327892594,147.67703049108985,139.06073469323587,145.05948690557568,0.0,0.0,124.37122317850366,14.412858190810658,1.0,0.6146809346759339,-0.003996252049885249,1.0243346454434812,-0.2556450225060872,0.003928856683643187,0.02015163859624224,-0.028628575929711454,3.8596990437416148,-0.0052057600291089984,-0.0029796341931809587,-0.018485791778062404,0.4427692406412388,0.0052057600291089984,0.0029796341931809587,0.018485791778062404,0.4427692406412388,0.0020287632152985514,-0.04575146246175812,-0.09485214279140243,3.0089867736962774,0.02344776974651897,-0.021691188213820888,-0.09253103013442256,2.903620155684208,-1.719113826187588,-2.501296588112105,-0.1621860257458364,0.5418140375126616,0.17004034497671755,147.23278617742068,-0.16172901652472518,-0.014171142801457155,0.2569467592674965,15.274363063941001,0.16172901652472518,0.014171142801457155,-0.2569467592674965,15.274363063941001,0.03956247239684404,-1.7724756328977713,1.1265212925582349,116.45491862323587,0.25285770923430895,-1.8233988511317911,0.1576907450962613,109.45835984538566
std,0.1498372863756994,1.0845216792603,1.1984950277423845,0.019277722665093963,0.2948646394418444,0.7455655840541496,0.5653492920277948,0.023304569313953187,0.31008033116787187,0.7286988022287634,0.48668496800966166,0.030946995312120182,0.17314430726922012,0.021793789198652564,0.1946809314529007,0.04866078227562103,0.17314430726922012,0.021793789198652564,0.1946809314529007,0.048564842255913426,0.22469341347174282,0.7273903813257578,0.7827903610481891,0.1722096021992753,0.31929854309463096,0.690292569458277,0.7381332547131543,0.244390978259941,0.21451248975316214,1.2087038981116829,0.9415053997522621,0.06588869703876957,0.2279588385721351,1.1920443378158223,0.9573289137250138,0.10670832410623005,0.34738461753504507,0.389863107689432,0.7640005764099057,0.3241429880846277,0.425060698716299,0.3477212923801051,0.7438189968603535,0.24141442970209143,32.45358591851668,33.451290417505376,32.08444048334606,32.693998623239466,15.064706169775834,15.159049037160035,0.0,0.0,32.24480329021561,8.259186230849114,6.155075921439333e-17,0.0744645164745348,0.037854619463785856,0.36818285685417573,0.21566280258365136,0.5899161140250995,5.821104053791424,5.089218965029015,6.725268506790223,0.4726630794336993,0.20966194447858724,0.8118052257706222,0.8547646104820958,0.4726630794336993,0.20966194447858724,0.8118052257706222,0.8547646104820958,0.8608147247363523,4.618585521258331,4.00449516789217,5.390776614680513,0.8716945844159796,4.239995041726383,4.280993289435109,5.351475346664675,187.10818799526535,187.8919487512146,20.738602392731828,241.52868431415916,213.4752052319927,287.48700305558316,17.290402725738584,7.715892950890224,30.539269069416807,32.52380321820577,17.290402725738584,7.715892950890224,30.539269069416807,32.52380321820577,32.00534267637887,174.48115859615663,145.69347213375391,197.81254562777534,30.58689559744847,157.2058160530898,149.5551930978873,189.82009364726775
min,-0.5852460538254209,0.9762615560671736,-3.7560082486358266,0.7528791427612305,-0.618585081062081,0.8302096217193328,-2.7510539950684723,0.6254879236221313,-0.5756054430858462,0.8106020602207517,-2.5512288903802145,0.5157778263092041,-0.3537947817439664,-0.1858333978659125,-0.5410124310169704,0.4071490168571472,-0.2486332633801515,-0.0851108211364922,-0.3738859116964332,0.4116984605789184,-0.8144330320717847,-4.058792194781478,-2.980921810645646,0.1114174127578735,-0.5671987586064469,-3.74964799929038,-2.745332784852116,0.0612003356218338,-0.7167294278739333,-7.756168564657385,-1.3685364160108446,0.008575546555221,-0.4908713001991613,-7.782153961949918,-1.6412927012155187,0.008372695185244,-1.487795044112212,-0.8450006824338094,-4.848609293752906,0.0511057525873184,-0.6806714750344717,-0.7317122124169981,-4.354193215658425,0.0717021971940994,29.48023399989215,25.339569769238224,10.848042385708348,19.767472690425176,30.606271687329887,66.94038430326115,0.0,0.0,28.263839558554565,0.0149486350262861,0.9999999999999996,0.2109993784497344,-0.1860980941658082,0.4119813379099276,-1.2844613617805047,-5.149752549851357,-85.20402959132232,-45.628781286126355,0.018655377331581,-7.419471791508297,-4.568323366269377,-13.70097381256944,0.0102236060004626,-8.170159539324187,-2.837868939152358,-15.751279573509068,0.0102236060004626,-11.624485712874792,-74.55117315473264,-47.02414173244206,0.0762737654612125,-12.001320608852206,-74.22291063692596,-37.812037794156275,0.022099942462489,-1715.7628007014946,-1476.5290820841155,-345.77804371436054,-4472.070568950131,-3074.003123079184,1.8724024005186868,-289.2845203293846,-112.11684073818128,-605.6967172562807,0.3402703387121831,-211.62994816430304,-177.98752475932878,-462.88345661227646,0.3402703387121831,-383.2894678680973,-2881.2301868577138,-1567.6748385853768,0.5492956818195802,-365.39615306767575,-2913.5792906223824,-1301.1196402618364,0.5550882286803488
25%,-0.0841334964640844,1.5134022896101504,-2.1201370401329394,0.9955627918243408,-0.4951310821823869,1.168596263759479,-0.7701207619387047,0.9984517097473145,0.0132867034538428,1.18676275195328,-0.8345962284605977,0.9992658495903016,-0.3074356193033249,-0.0031809244150666,-0.1123749952067997,0.9798014760017396,0.029393000472446,-0.0275526796801265,-0.1135587904573581,0.9743032455444336,-0.3292497644091707,-1.7765971253746204,-0.5018648057644939,0.2700096666812897,-0.0300322582357915,-1.8175942191353156,-0.3138846677402153,0.2245710641145706,-0.3026805315610341,-3.423611292847502,0.5782181625160953,0.0281608011573553,0.0069550148461269,-3.46059571505195,0.2877488315488796,0.0284401252865791,-0.6229935492678074,-0.1524970081516393,-1.290573311276351,0.5347357988357544,-0.1147640110913601,-0.1494939286555966,-1.443115352856353,0.8433475494384766,103.9729468006546,110.02444553843216,131.30483338823967,129.66239434850945,130.62531599544013,137.5749180794298,0.0,0.0,108.33631873411152,8.436299457431375,1.0,0.5810205814300452,-0.0160334564263687,0.590288589110578,-0.3897013351852688,-0.1899215025432192,-1.0468323623664717,-1.3068384792190724,1.0116765816029971,-0.0972540431016562,-0.0512091799945729,-0.1148618701318864,0.1321566492882377,-0.0946986605678914,-0.0474726261833705,-0.150233486573171,0.1321566492882377,-0.2276158130468826,-0.5594172336521671,-0.9103056993382134,0.7940562640757408,-0.2425565390278194,-0.5186281182762555,-0.8631909283580933,0.7178921082109546,-56.94852597813145,-52.43624047175717,-5.333021723859764,-30.253051202902785,-49.81826387280735,36.74463830623142,-2.61783183118718,-1.4482234670531398,-4.623418150843439,4.05503068297684,-2.7103933261539224,-1.499424513294696,-5.6258398857112475,4.05503068297684,-7.514409174763271,-22.45928628991983,-31.86127734111596,29.01158694804248,-6.9491215766840355,-19.044100178145385,-34.30760862779333,25.76813497106536
50%,0.0010773555983729,3.219088792139561,-1.4646615581490152,0.999526858329773,-0.4170025824291519,2.2317511048320853,-0.535810746767929,0.9997700452804564,0.4286766593819103,2.2060558767412464,-0.6400063290088934,0.9998185634613036,-0.2748852767944671,0.0126189610188191,0.0248061545379168,0.9917921423912048,0.2748852767944671,-0.0126189610188191,-0.0248061545379168,0.9935375452041626,-0.2519526674339697,-1.4206384831743104,-0.2438297075775802,0.4092602431774139,0.2679168348451601,-1.5036783139515089,-0.0455359155989055,0.4148168861865997,-0.227977116525702,-2.90932095266305,1.055476665345499,0.061580054461956,0.2011504492875588,-2.9312199209028407,0.921167609097381,0.088680163025856,-0.4388903214979174,-0.0345105706563659,-0.7765282875733427,0.9525694251060486,0.4306186092462942,-0.0330165230831558,-0.9232350532602276,0.949959397315979,116.28787520224208,135.48865698299807,154.00494500142682,162.8922395640802,140.03083740197525,146.09068984690083,0.0,0.0,125.49837525365862,14.511225385638497,1.0,0.615825862896055,0.0020182539397469,1.1077053335251916,-0.1916285074467986,0.0062229584890198,-0.1135076632580015,0.0177848562721153,2.0052419086193183,0.004095002187432,-0.0001130921251758,0.0077043550894531,0.2383404828224873,-0.004095002187432,0.0001130921251758,-0.0077043550894531,0.2383404828224873,0.0084748437445804,0.0797152254912563,-0.0254815436766127,1.584533156968817,-0.010630889354897,0.0486020138913408,-0.0022512112245784,1.451488194700629,0.6959353628407026,-0.1007249023745497,-0.2261635537026945,0.0805494009878775,-1.4460040470172606,74.62124614613637,0.0818926532735022,-0.0661126964445704,0.0707174785543305,8.187086954604844,-0.0818926532735022,0.0661126964445704,-0.0707174785543305,8.187086954604844,0.0593107267779799,-0.6678775200274095,0.1813416969004531,59.16024928751752,-0.2998834593305448,0.1679130681006662,-0.7867140129183828,54.42757306982836
75%,0.0737627727710373,3.777474781674708,-0.2266692473223067,0.9999120831489564,-0.0311938994252985,2.68106716106878,0.0085537507094037,0.999933123588562,0.4889543575673922,2.6718280876529055,-0.3576224945743774,0.9999088048934937,-0.029393000472446,0.0275526796801265,0.1135587904573581,0.997136890888214,0.3074356193033249,0.0031809244150666,0.1123749952067997,0.9968957304954528,-0.1431889472940287,-0.6169897674030552,0.246477251965619,0.5705987811088562,0.371091827400752,-0.6444037557473761,0.2156181530084212,0.636846661567688,-0.1019449307204951,-1.3387761271909508,1.833840998014134,0.1246431022882461,0.3299000463212634,-1.4209284653124603,1.739072455609649,0.2136536091566085,-0.1469119347317531,0.0764476215891093,-0.0734538915596954,0.9905756115913392,0.6390335943360217,0.059226029036695,-0.3789993928372085,0.98152893781662,143.2359993715897,156.2121085585176,163.72298284643082,170.76128012611414,147.83830507820255,155.2400898039054,0.0,0.0,150.6155064259748,19.59535801576706,1.0,0.6469281554635469,0.0185658104431067,1.3356099388752236,-0.0861650972646024,0.1739191872316958,0.7231628452421615,1.3584521618919532,4.261469183364731,0.0946986605678914,0.0474726261833705,0.150233486573171,0.4645512951172992,0.0972540431016562,0.0512091799945729,0.1148618701318864,0.4645512951172992,0.2566505657332892,0.7072729227387894,0.8767607738963651,3.2789675006768997,0.241852023849571,0.6247676282882905,0.795682058436645,3.0467984714986787,59.58309476574459,51.700741307660714,4.919156989976428,29.73317272896544,50.07766391144433,164.75839152867923,2.7103933261539224,1.499424513294696,5.6258398857112475,16.253920053252635,2.61783183118718,1.4482234670531398,4.623418150843439,16.253920053252635,7.938680827924476,23.296668232433717,35.97237225982426,132.7305823308248,7.2205708782957645,20.999209358136454,33.44792623020916,116.8695070460656
max,0.2074117934450763,8.657457905470627,2.243355822112723,0.9999948740005492,0.4856239733906947,6.228206003585569,0.8355451022633805,0.9999863505363464,0.6200677929587629,6.073659557896307,0.4599068346977488,0.9999734163284302,0.2486332633801515,0.0851108211364922,0.3738859116964332,0.999699592590332,0.3537947817439664,0.1858333978659125,0.5410124310169704,0.999671459197998,0.3903372696996064,2.0990070957655114,2.024669519285049,0.838554322719574,0.863024867849379,2.1525514557881555,1.943697100112496,0.9008573293685912,0.5458051087157839,2.779018784934004,4.946949875764207,0.3202438354492187,0.5794760944590027,2.7808641197035926,4.270640749168341,0.4610780477523803,1.032867166824814,6.411601867030625,1.6904871119074925,0.9984854459762572,1.5349466943731749,6.375388762794974,1.0726384015628023,0.9965108633041382,178.75958585377333,179.05343859765745,179.59768952496125,179.04042097355807,173.47110629523397,178.47764985642758,0.0,0.0,178.53034682382585,66.11296752598923,1.0000000000000002,1.091046810554473,0.1023388106903387,3.075466390370469,0.1738670473004374,11.118762175418524,93.69014809425946,69.98366609571534,110.26078482494631,8.170159539324187,2.837868939152358,15.751279573509068,17.431028791244888,7.419471791508297,4.568323366269377,13.70097381256944,17.431028791244888,7.494008641123391,96.76136122177604,49.944958203566664,106.81523512026436,16.318526497672877,97.47413811664718,52.57058632079631,99.64650910498766,2282.566677934307,1664.976196610699,366.4410874412122,3887.051231282536,2580.3827858665027,4955.748306548678,211.62994816430304,177.98752475932878,462.88345661227646,636.6295271674696,289.2845203293846,112.11684073818128,605.6967172562807,636.6295271674696,316.04471700719296,2022.3023704490172,1271.289934600473,2952.0723642599023,476.9735989594484,2031.1784242707267,1008.3556993374312,2943.615325353625
