Model,Accuracy,Precision,Recall,F1-Score
RandomForest,0.654054054054054,0.6563351663351663,0.654054054054054,0.6550582577109
SVM,0.6648648648648648,0.659884744683135,0.6648648648648648,0.6602783159004357
LogisticRegression,0.6945945945945946,0.69302380967846,0.6945945945945946,0.6933103650960794
GradientBoosting,0.6756756756756757,0.6757064558515001,0.6756756756756757,0.6756615014718543
KNN,0.6648648648648648,0.6564391487683876,0.6648648648648648,0.6597648065495902
XGBoost,0.6702702702702703,0.6704668304668304,0.6702702702702703,0.670265163122306
